timestep;aFRR_neg_energy_EUR_MWh
1224900;-1050.42
1225800;-1048.14
1226700;-1047.69
1227600;-1048.45
1228500;-1049.46
1229400;-1049.21
1230300;-1012.28
1231200;-1136.77
1232100;-1135.4
1233000;-1107.41
1233900;-1065.99
1234800;-1078.36
1235700;-1060.41
1236600;-1034.76
1237500;-1031.15
1238400;-922.17
1239300;-813.79
1240200;-794.84
1241100;-796.49
1242000;-826.01
1242900;-799.69
1243800;-805.11
1244700;-798.42
1245600;-782.65
1246500;-788.71
1247400;-806.55
1248300;-815.94
1249200;-809.75
1250100;-818.29
1251000;-831.21
1251900;-830.84
1252800;-741.75
1253700;-758.11
1254600;-764.85
1255500;-762.81
1256400;-762.47
1257300;-762.9
1258200;-764.38
1259100;-764.9
1260000;-800.29
1260900;-758.22
1261800;-748.65
1262700;-747.96
1263600;-752.89
1264500;-1880.84
1265400;-1907.28
1266300;-1907.41
1267200;-893.57
1268100;-874.05
1269000;-873.51
1269900;-879.48
1270800;-881.1
1271700;-879.48
1272600;-901.86
1273500;-900.33
1274400;-907.12
1275300;-908.91
1276200;-908.27
1277100;-907.07
1278000;-797.89
1278900;-799.18
1279800;-788.73
1280700;-787.68
1281600;-788.47
1282500;-791.15
1283400;-793.71
1284300;-793.47
1285200;-789.12
1286100;-787.45
1287000;-789.5
1287900;-791.11
1288800;-786.39
1289700;-785.86
1290600;-796.66
1291500;-869.21
1292400;-824.19
1293300;-814.08
1294200;-867.26
1295100;-878.32
1296000;-615.75
1296900;-627.31
1297800;-672.39
1298700;-681.25
1299600;-636.35
1300500;-673.8
1301400;-680.44
1302300;-681.5
1303200;-636.34
1304100;-673.77
1305000;-679.74
1305900;-679.69
1306800;-679.41
1307700;-679.44
1308600;-679.14
1309500;-679.79
1310400;-859.89
1311300;-867.04
1312200;-866.32
1313100;-866.41
1314000;-867.36
1314900;-867.94
1315800;-804.37
1316700;-783.78
1317600;-926.48
1318500;-843.48
1319400;-795.54
1320300;-791.96
1321200;-776.78
1322100;-775.94
1323000;-776.04
1323900;-776.18
1324800;-814.46
1325700;-815.13
1326600;-836.18
1327500;-836.53
1328400;-835.41
1329300;-833.96
1330200;-834.85
1331100;-833.1
1332000;-831.05
1332900;-831.67
1333800;-832.65
1334700;-827.54
1335600;-824.33
1336500;-824.64
1337400;-824.59
1338300;-822.55
1339200;-762.51
1340100;-760.1
1341000;-762.66
1341900;-761.85
1342800;-761.17
1343700;-761.29
1344600;-761.64
1345500;-762.06
1346400;-763.36
1347300;-763.92
1348200;-762.76
1349100;-762.71
1350000;-767.25
1350900;-769
1351800;-767.74
1352700;-767.31
1353600;-798.65
1354500;-795.19
1355400;-792.38
1356300;-790.26
1357200;-825.42
1358100;-827.89
1359000;-826.23
1359900;-834.47
1360800;-856.3
1361700;-857.93
1362600;-857.72
1363500;-856.19
1364400;-752.74
1365300;-744.62
1366200;-744.45
1367100;-782.5
1368000;-712.94
1368900;-713.21
1369800;-750.23
1370700;-756.04
1371600;-740.45
1372500;-728.58
1373400;-764.72
1374300;-774.72
1375200;-825.31
1376100;-868.28
1377000;-871.06
1377900;-874.11
1378800;-889.74
1379700;-897.85
1380600;-900.76
1381500;-901.08
1382400;-1011.78
1383300;-1014.39
1384200;-1014.43
1385100;-1014.8
1386000;-1014.9
1386900;-1014.22
1387800;-1014.63
1388700;-1013.81
1389600;-1015.21
1390500;-1015.31
1391400;-1015.41
1392300;-1014.84
1393200;-1020.92
1394100;-1025.08
1395000;-1025.03
1395900;-1025.71
1396800;-952.5
1397700;-943.01
1398600;-936.25
1399500;-935.6
1400400;-936.75
1401300;-937.92
1402200;-936.45
1403100;-935.75
1404000;-1021.36
1404900;-1027.8
1405800;-1027.88
1406700;-972.85
1407600;-985
1408500;-939.08
1409400;-876.46
1410300;-867.5
1411200;-983.26
1412100;-977.63
1413000;-978.96
1413900;-978.74
1414800;-978.45
1415700;-978.2
1416600;-978.61
1417500;-976.74
1418400;-974.16
1419300;-974.58
1420200;-974.61
1421100;-972.37
1422000;-971.38
1422900;-971.12
1423800;-970.95
1424700;-969.68
1425600;-923.35
1426500;-941.75
1427400;-943.14
1428300;-942.19
1429200;-942.8
1430100;-943.13
1431000;-943.58
1431900;-943.93
1432800;-946.28
1433700;-946.75
1434600;-946.03
1435500;-945.96
1436400;-949.68
1437300;-951.68
1438200;-956.58
1439100;-947.86
1440000;-904.04
1440900;-897.1
1441800;-894.41
1442700;-894.85
1443600;-898.03
1444500;-899.04
1445400;-897.91
1446300;-897.37
1447200;-898.1
1448100;-897.98
1449000;-897.73
1449900;-894.63
1450800;-804.64
1451700;-803.71
1452600;-803.82
1453500;-803.35
1454400;-808.18
1455300;-816.43
1456200;-817.69
1457100;-816.56
1458000;-812.82
1458900;-810.87
1459800;-810.95
1460700;-810.09
1461600;-826.87
1462500;-831.02
