timestep;aFRR_neg_cap_EUR_MW_h
1373400;2.97
1374300;2.97
1375200;2.97
1376100;2.97
1377000;2.97
1377900;2.97
1378800;2.97
1379700;2.97
1380600;2.97
1381500;2.97
1382400;6.99
1383300;6.99
1384200;6.99
1385100;6.99
1386000;6.99
1386900;6.99
1387800;6.99
1388700;6.99
1389600;6.99
1390500;6.99
1391400;6.99
1392300;6.99
1393200;6.99
1394100;6.99
1395000;6.99
1395900;6.99
1396800;4.41
1397700;4.41
1398600;4.41
1399500;4.41
1400400;4.41
1401300;4.41
1402200;4.41
1403100;4.41
1404000;4.41
1404900;4.41
1405800;4.41
1406700;4.41
1407600;4.41
1408500;4.41
1409400;4.41
1410300;4.41
1411200;2.21
1412100;2.21
1413000;2.21
1413900;2.21
1414800;2.21
1415700;2.21
1416600;2.21
1417500;2.21
1418400;2.21
1419300;2.21
1420200;2.21
1421100;2.21
1422000;2.21
1422900;2.21
1423800;2.21
1424700;2.21
1425600;2.35
1426500;2.35
1427400;2.35
1428300;2.35
1429200;2.35
1430100;2.35
1431000;2.35
1431900;2.35
1432800;2.35
1433700;2.35
1434600;2.35
1435500;2.35
1436400;2.35
1437300;2.35
1438200;2.35
1439100;2.35
1440000;1.23
1440900;1.23
1441800;1.23
1442700;1.23
1443600;1.23
1444500;1.23
1445400;1.23
1446300;1.23
1447200;1.23
1448100;1.23
1449000;1.23
1449900;1.23
1450800;1.23
1451700;1.23
1452600;1.23
1453500;1.23
1454400;2.21
1455300;2.21
1456200;2.21
1457100;2.21
1458000;2.21
1458900;2.21
1459800;2.21
1460700;2.21
1461600;2.21
1462500;2.21
1463400;2.21
1464300;2.21
1465200;2.21
1466100;2.21
1467000;2.21
1467900;2.21
1468800;6.28
1469700;6.28
1470600;6.28
1471500;6.28
1472400;6.28
1473300;6.28
1474200;6.28
1475100;6.28
1476000;6.28
1476900;6.28
1477800;6.28
1478700;6.28
1479600;6.28
1480500;6.28
1481400;6.28
1482300;6.28
1483200;4.3
1484100;4.3
1485000;4.3
1485900;4.3
1486800;4.3
1487700;4.3
1488600;4.3
1489500;4.3
1490400;4.3
1491300;4.3
1492200;4.3
1493100;4.3
1494000;4.3
1494900;4.3
1495800;4.3
1496700;4.3
1497600;1.76
1498500;1.76
1499400;1.76
1500300;1.76
1501200;1.76
1502100;1.76
1503000;1.76
1503900;1.76
1504800;1.76
1505700;1.76
1506600;1.76
1507500;1.76
1508400;1.76
1509300;1.76
1510200;1.76
1511100;1.76
1512000;1.98
1512900;1.98
1513800;1.98
1514700;1.98
1515600;1.98
1516500;1.98
1517400;1.98
1518300;1.98
1519200;1.98
1520100;1.98
1521000;1.98
1521900;1.98
1522800;1.98
1523700;1.98
1524600;1.98
1525500;1.98
1526400;1.08
1527300;1.08
1528200;1.08
1529100;1.08
1530000;1.08
1530900;1.08
1531800;1.08
1532700;1.08
1533600;1.08
1534500;1.08
1535400;1.08
1536300;1.08
1537200;1.08
1538100;1.08
1539000;1.08
1539900;1.08
1540800;2.05
1541700;2.05
1542600;2.05
1543500;2.05
1544400;2.05
1545300;2.05
1546200;2.05
1547100;2.05
1548000;2.05
1548900;2.05
1549800;2.05
1550700;2.05
1551600;2.05
1552500;2.05
1553400;2.05
1554300;2.05
1555200;5.78
1556100;5.78
1557000;5.78
1557900;5.78
1558800;5.78
1559700;5.78
1560600;5.78
1561500;5.78
1562400;5.78
1563300;5.78
1564200;5.78
1565100;5.78
1566000;5.78
1566900;5.78
1567800;5.78
1568700;5.78
1569600;4.16
1570500;4.16
1571400;4.16
1572300;4.16
1573200;4.16
1574100;4.16
1575000;4.16
1575900;4.16
1576800;4.16
1577700;4.16
1578600;4.16
1579500;4.16
1580400;4.16
1581300;4.16
1582200;4.16
1583100;4.16
1584000;1.79
1584900;1.79
1585800;1.79
1586700;1.79
1587600;1.79
1588500;1.79
1589400;1.79
1590300;1.79
1591200;1.79
1592100;1.79
1593000;1.79
1593900;1.79
1594800;1.79
1595700;1.79
1596600;1.79
1597500;1.79
1598400;2.33
1599300;2.33
1600200;2.33
1601100;2.33
1602000;2.33
1602900;2.33
1603800;2.33
1604700;2.33
1605600;2.33
1606500;2.33
1607400;2.33
1608300;2.33
1609200;2.33
1610100;2.33
1611000;2.33
1611900;2.33
1612800;1.32
1613700;1.32
1614600;1.32
1615500;1.32
1616400;1.32
1617300;1.32
1618200;1.32
1619100;1.32
1620000;1.32
1620900;1.32
1621800;1.32
1622700;1.32
1623600;1.32
1624500;1.32
1625400;1.32
1626300;1.32
1627200;2.49
1628100;2.49
1629000;2.49
1629900;2.49
1630800;2.49
1631700;2.49
1632600;2.49
1633500;2.49
1634400;2.49
1635300;2.49
1636200;2.49
1637100;2.49
1638000;2.49
1638900;2.49
