timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
405000;56,08895179;70,97247429;37,85198629
405900;43,16327066;59,53963014;31,75446941
406800;35,06606794;54,52032106;29,07750456
407700;29,10671747;40,80503887;21,7626874
408600;40,69457453;65,57527694;34,97348104
409500;45,71287994;64,30013665;34,29340621
410400;49,47160229;65,29949068;34,82639503
411300;54,65308831;87,80579643;46,82975809
412200;59,85805861;78,23035597;41,72285651
413100;49,8814434;71,1201837;37,93076464
414000;33,48830648;64,74963319;34,5331377
414900;27,7656606;43,14998193;23,0133237
415800;24,18777999;42,29711826;22,55846307
416700;39,23626702;66,1645549;35,28776261
417600;36,07160778;47,99717561;25,59849366
418500;30,67519434;49,42402088;26,3594778
419400;31,108113;47,55935648;25,36499012
420300;28,90518654;38,63851354;20,60720722
421200;22,27581855;38,31862076;20,43659774
422100;27,78238102;36,29504596;19,35735785
423000;33,67217968;42,691563;22,7688336
423900;29,2376197;42,55903985;22,69815459
424800;41,72634098;50,01534268;26,67484943
425700;36,89280033;44,71315199;23,8470144
426600;37,40508651;53,39014751;28,47474534
427500;15,81560347;23,41434147;12,48764878
428400;12,79919661;20,67835469;11,02845583
429300;13,07491291;22,74562857;12,1310019
430200;14,90744441;21,63742617;11,53996062
431100;17,1717228;23,69109844;12,6352525
432000;13,15004596;22,96583597;12,24844585
432900;10,74331826;18,05790848;9,63088452
433800;10,28726843;16,57579594;8,840424502
434700;10,73029792;16,87886194;9,002059699
435600;10,67060916;16,7133345;8,913778402
436500;11,55175745;17,67842327;9,428492411
437400;10,96350583;17,21473456;9,181191765
438300;11,41706341;17,34444403;9,250370149
439200;10,96670395;16,71533226;8,914843874
440100;10,09326928;15,8593387;8,458313974
441000;10,08221113;15,61044883;8,325572709
441900;9,669339372;15,49662063;8,264864338
442800;10,09600691;15,8650093;8,461338293
443700;9,424093123;15,10428281;8,055617497
444600;9,165483725;14,70273135;7,841456721
445500;9,085408576;14,57349093;7,772528494
446400;9,016588984;14,49000553;7,728002948
447300;9,309186788;14,88917882;7,94089537
448200;9,04122361;14,65619023;7,816634789
449100;9,369426775;14,94438118;7,970336627
450000;9,949474062;15,52089654;8,27781149
450900;9,373268433;14,84817718;7,919027831
451800;11,30554471;17,09902904;9,119482152
452700;11,96487135;17,659517;9,418409066
453600;10,74938784;16,54140302;8,822081609
454500;15,18590688;22,00569556;11,73637097
455400;17,52752715;24,10398149;12,85545679
456300;17,59540532;25,99639065;13,86474168
457200;26,97666566;35,81275532;19,10013617
458100;27,18241061;36,00787221;19,20419851
459000;30,03940391;45,53676714;24,28627581
459900;43,17537115;59,87682361;31,93430593
460800;43,46988878;61,36793794;32,7295669
461700;43,19928119;67,62748903;36,06799415
462600;51,8466578;73,70126723;39,30734252
463500;51,12974852;78,50415633;41,86888338
464400;50,64022826;81,97737565;43,72126701
465300;52,44401605;76,10151888;40,58747674
466200;66,89225967;102,6241031;54,732855
467100;71,21560786;99,78488253;53,21860402
468000;79,33007092;108,3042574;57,76227061
468900;84,98999358;116,0839627;61,91144678
469800;87,49457443;109,6861186;58,49926326
470700;51,62743184;81,75614869;43,6032793
471600;46,63186085;65,35685192;34,85698769
472500;52,77337708;75,08167972;40,04356252
473400;39,45639862;67,05904784;35,76482551
474300;66,55432252;92,16664389;49,15554341
475200;55,53004219;79,04079973;42,15509319
476100;57,45766541;79,06336911;42,16713019
477000;38,49302081;58,91874461;31,42333046
477900;37,21800514;55,98946515;29,86104808
478800;39,60641992;64,81515886;34,56808473
479700;37,77589061;63,5514703;33,89411749
480600;48,90872606;75,03168047;40,01689625
481500;47,94610051;76,55231566;40,82790169
482400;44,71786346;66,69200568;35,5690697
483300;44,60254156;68,54417728;36,55689455
484200;52,51714358;77,07334304;41,10578295
485100;48,3780078;72,37164595;38,59821117
486000;42,07161756;72,42330586;38,62576313
486900;54,56253608;74,4448231;39,70390565
487800;52,0843646;74,81597392;39,90185276
488700;48,68175921;75,26686904;40,14233016
489600;66,92888023;89,19408106;47,57017656
490500;57,99948461;80,98456469;43,19176783
491400;56,08895179;79,41705481;42,35576257
492300;43,16327066;61,13778111;32,60681659
493200;35,06606794;56,88480828;30,33856442
494100;29,10671747;50,3755024;26,86693461
495000;40,69457453;58,40241766;31,14795609
495900;45,71287994;67,26999246;35,87732931
496800;49,47160229;67,93901698;36,23414239
497700;54,65308831;70,32516209;37,50675311
498600;59,85805861;72,80326335;38,82840712
499500;49,8814434;61,33326721;32,71107585
500400;33,48830648;43,63071277;23,26971348
501300;27,7656606;39,54079244;21,08842263
502200;24,18777999;34,70084195;18,50711571
503100;39,23626702;54,70697605;29,17705389
504000;36,07160778;49,55545987;26,4295786
504900;30,67519434;44,17546161;23,56024619
505800;31,108113;42,47094474;22,65117053
506700;28,90518654;41,03980725;21,8878972
507600;22,27581855;38,65979101;20,6185552
508500;27,78238102;39,29471809;20,95718298
509400;33,67217968;50,53605875;26,95256467
510300;29,2376197;43,24362879;23,06326869
511200;41,72634098;51,21084977;27,31245321
512100;36,89280033;47,10442766;25,12236142
513000;37,40508651;45,39014703;24,20807842
513900;15,81560347;21,83487097;11,64526452
514800;12,79919661;19,44186838;10,36899647
515700;13,07491291;19,4642647;10,38094117
516600;14,90744441;22,74559617;12,13098462
517500;17,1717228;26,7613907;14,2727417
518400;13,15004596;19,45893077;10,37809641
519300;10,74331826;16,97618749;9,053966661
520200;10,28726843;16,12569878;8,600372684
521100;10,73029792;16,86769213;8,996102468
522000;10,67060916;18,28178271;9,750284111
522900;11,55175745;20,76906327;11,07683375
523800;10,96350583;17,12135587;9,131389797
524700;11,41706341;17,1083933;9,124476426
525600;10,96670395;16,71533226;8,914843874
526500;10,09326928;15,92158543;8,491512231
527400;10,08221113;15,61450992;8,327738624
528300;9,669339372;15,47385706;8,252723768
529200;10,09600691;15,76657636;8,408840727
530100;9,424093123;15,00149742;8,000798623
531000;9,165483725;14,70273135;7,841456721
531900;9,085408576;14,57349093;7,772528494
532800;9,016588984;14,49000553;7,728002948
533700;9,309186788;14,88917882;7,94089537
534600;9,04122361;14,65619023;7,816634789
535500;9,369426775;14,94438118;7,970336627
536400;9,949474062;15,52089654;8,27781149
537300;9,373268433;14,84817718;7,919027831
538200;11,30554471;17,09902904;9,119482152
539100;11,96487135;17,659517;9,418409066
540000;10,74938784;16,54140302;8,822081609
540900;15,18590688;22,00569556;11,73637097
541800;17,52752715;23,6819387;12,63036731
542700;17,59540532;25,15230507;13,41456271
543600;26,97666566;34,54662696;18,42486771
544500;27,18241061;34,31970106;18,30384057
545400;30,03940391;42,40770261;22,61744139
546300;43,17537115;55,72890849;29,72208453
547200;43,46988878;56,20117223;29,97395852
548100;43,19928119;61,44187272;32,76899879
