timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed;val_beam_irr_in_plane
3132000;1.6;0;0;0;0;300;1;0.0
3135600;1.8;0;0;1;1;308;1.2;0.0
3139200;2.1;0;0;20;20;308;0.7;0.1
3142800;2.9;0;0;66;66;308;0.7;-0.4
3146400;3.4;8.663;3;125;128;302;1.5;16.4
3150000;4.2;11.986;5;162;167;297;0.8;25.4
3153600;4.2;51.7;23;206;229;290;1;90.8
3157200;4.7;84.148;36;206;242;284;1.7;120.7
3160800;4.9;51.77;19;161;180;290;0.7;73.4
3164400;4.6;75.249;20;112;132;294;1.2;70.9
3168000;4.3;23.831;3;43;46;293;1.1;16.0
3171600;3;0;0;0;0;286;1.2;0.0
3175200;2.6;0;0;0;0;278;1.3;0.0
3178800;2.4;0;0;0;0;277;1.3;0.0
3182400;2;0;0;0;0;279;2.3;0.0
3186000;1.8;0;0;0;0;284;1.5;0.0
3189600;1.8;0;0;0;0;287;1.6;0.0
3193200;1.7;0;0;0;0;285;1.3;0.0
3196800;1.6;0;0;0;0;282;2.2;0.0
3200400;1.6;0;0;0;0;278;2;0.0
3204000;1.7;0;0;0;0;274;1.9;0.0
3207600;1.8;0;0;0;0;270;1.3;0.0
3211200;1.7;0;0;0;0;268;1.3;0.0
3214800;1.7;0;0;0;0;266;1.2;0.0
3218400;1.7;0;0;0;0;264;0.9;0.0
3222000;1.9;0;0;2;2;261;1.1;0.0
3225600;2;0;0;32;32;260;1.1;-0.2
3229200;2.4;0;0;73;73;256;1;-1.1
3232800;2.5;0;0;83;83;255;1.7;-0.2
3236400;2.7;0;0;78;78;258;1.7;0.3
3240000;2.8;0;0;74;74;262;1.8;0.3
3243600;2.8;0;0;59;59;271;2.5;0.2
3247200;2.4;0;0;64;64;272;2.4;0.3
3250800;2.6;0;0;47;47;270;1.8;0.2
3254400;2.3;0;0;24;24;269;2.6;0.1
3258000;1.9;0;0;1;1;263;1;0.0
3261600;1.3;0;0;0;0;259;2.2;0.0
3265200;1.2;0;0;0;0;256;1.8;0.0
3268800;0.9;0;0;0;0;253;1.8;0.0
3272400;0.8;0;0;0;0;251;1.7;0.0
3276000;0.2;0;0;0;0;249;1.5;0.0
3279600;-0.6;0;0;0;0;246;1.4;0.0
3283200;-1.5;0;0;0;0;217;1.1;0.0
3286800;-2.2;0;0;0;0;239;1;0.0
3290400;-2.7;0;0;0;0;257;0.9;0.0
3294000;-2.7;0;0;0;0;259;0.9;0.0
3297600;-3;0;0;0;0;251;0.9;0.0
3301200;-3.1;0;0;0;0;233;0.8;0.0
3304800;-3.8;0;0;0;0;235;1.3;0.0
3308400;-3.6;0;0;0;0;253;0.8;0.0
3312000;-3.6;387.762;36;38;74;247;0.7;188.6
3315600;-3.1;249.379;61;100;161;245;0.9;192.7
3319200;-2.2;304.043;108;142;250;241;1.1;287.6
3322800;0.2;450.322;192;156;348;233;1.1;470.0
3326400;1.9;697.791;317;113;430;229;1.3;710.4
3330000;2.2;711.14;311;104;415;223;1.7;701.2
3333600;2.9;804.796;303;78;381;229;1.7;696.4
3337200;3.5;708.602;195;68;263;239;1;513.9
3340800;2.7;626.068;85;43;128;242;1.3;315.8
3344400;1.8;117.561;5;9;14;240;1.5;36.6
3348000;1.4;0;0;0;0;247;1.6;0.0
3351600;0.7;0;0;0;0;253;1.3;0.0
3355200;0.3;0;0;0;0;256;1.2;0.0
3358800;0.1;0;0;0;0;264;1;0.0
3362400;0.2;0;0;0;0;267;1;0.0
3366000;0;0;0;0;0;266;1.6;0.0
3369600;-0.6;0;0;0;0;261;1.3;0.0
3373200;-0.6;0;0;0;0;256;0.8;0.0
3376800;-0.7;0;0;0;0;256;1.3;0.0
3380400;-1.1;0;0;0;0;247;1.6;0.0
3384000;-1.6;0;0;0;0;238;1.1;0.0
3387600;-1.8;0;0;0;0;248;0.9;0.0
3391200;-2.3;0;0;0;0;258;0.7;0.0
3394800;-2.5;0;0;0;0;250;0.4;0.0
3398400;-1.7;449.711;44;36;80;236;1.3;213.5
3402000;-0.3;558.146;139;70;209;232;1.2;389.9
3405600;1.5;352.991;127;133;260;239;0.7;322.5
3409200;3.8;756.263;326;86;412;244;0.9;718.0
3412800;5.7;978.03;449;50;499;239;1.3;929.8
3416400;7;902.401;399;81;480;236;1.4;860.8
3420000;8.2;902.185;344;70;414;235;1.4;775.0
3423600;6.9;839.469;235;53;288;232;1.1;592.3
3427200;6.1;724.923;102;36;138;233;1.2;362.1
3430800;4.3;167.811;10;8;18;236;1.5;52.3
3434400;2.9;0;0;0;0;235;1.6;0.0
3438000;1.3;0;0;0;0;227;1.7;0.0
3441600;0.2;0;0;0;0;221;0.8;0.0
3445200;-0.1;0;0;0;0;223;1.7;0.0
3448800;-0.8;0;0;0;0;225;1.4;0.0
3452400;-1;0;0;0;0;221;1.3;0.0
