timestep;Wetterdaten.Mittlere Aussentemperatur (Tamb) [°C];Wetterdaten.Normale Direktstrahlung  (Bn) [W/m²];Wetterdaten.Diffusstrahlung, Jahressumme (Dh) [W/m²];Wetterdaten.Globalstrahlung, Jahressumme (Gh) [W/m²];Wetterdaten.Wärmestrahlung (Lh) [W/m²];Wetterdaten.Windgeschwindigkeit (Vwnd) [m/s];Kollektor.Mitteltemperatur [°C];Kollektor.Durchsatz [l/h];Kollektor.Wärmeverlust (Qhl) [W];Kollektor.Einstrahlung in Kollektorebene (Esol) [W];Kollektor.Kollektorfeldertrag (Qsol) [W];Kollektor.Betriebstemperatur [°C];Kollektor.Austrittstemperatur [°C];Rohr 6.Temperatur [°C];Rohr 6.Wärmekapazität des Fluids [J/(l*K)];Rohr 16.Temperatur [°C];Rohr 16.Wärmekapazität des Fluids [J/(l*K)];Kollektor.Diffusstrahlung nach IAM [W];Kollektor.Globalstrahlung nach IAM  [W];Kollektor.Direktstrahlung nach IAM [W];Kollektor.Einstrahlung auf Kollektor [W/m²]
16009200;22,2;517,626;155,0;387,0;335,0;2,3;14,929266666666667;66,59999999999998;409,038325;1169,481;760,4427499999999;14,929266666666667;19,146275;10,0;4200,839800000001;19,145975000000004;4202,83285;459,498;787,8319999999999;328,33400000000006;177,44
16012800;25,1;626,385;179,0;554,0;339,0;3,0;19,861625;66,59999999999998;567,15495;2083,562;1516,4064;19,861625;28,27508333333333;10,0;4200,8094;28,275016666666666;4204,912766666666;653,0340000000001;1829,749;1176,715;412,10600000000005
16016400;26,3;661,604;206,0;687,0;353,0;2,7;24,802;66,59999999999998;728,22375;2894,915;2166,69125;24,802;36,80164166666666;10,0;4200,855;36,801408333333335;4206,868783333333;848,187;2757,418;1909,231;621,0399999999998
16020000;27,8;682,622;227,0;790,0;374,0;2,0;28,657158333333335;66,59999999999998;896,7677166666667;3542,3820000000005;2645,6139666666663;28,657158333333335;43,297316666666674;10,0;4200,855;43,29724166666667;4208,350474999999;999,272;3442,833;2443,562;775,4129999999999
16023600;28,5;637,044;269,0;833,0;386,0;3,0;30,752908333333334;66,59999999999998;977,1909916666667;3842,966;2865,7751416666665;30,752908333333334;46,59391666666666;10,0;4200,855;46,59365;4209,118283333333;1213,0219999999997;3770,5539999999996;2557,532;849,2240000000002
16027200;28,5;345,9800000000001;397,0;710,0;389,0;2,2;28,534916666666668;66,59999999999998;797,662375;3201,4730000000004;2403,810808333333;28,534916666666668;41,743725;10,0;4200,855;41,743325;4208,024933333333;1675,6069999999997;3114,71;1439,1030000000003;701,5109999999999
16030800;29,6;695,432;236,0;849,0;390,0;2,0;30,914816666666667;66,59999999999998;969,4474250000002;3924,555;2955,1078166666666;30,914816666666667;47,27995833333333;10,0;4200,855;47,279875;4209,281816666667;1081,485;3853,585;2772,1;867,9240000000001
16034400;30,4;625,249;247,0;758,0;389,0;1,5;29,431800000000003;66,59999999999998;838,0563666666667;3375,1889999999994;2537,13245;29,431800000000003;43,38568333333333;10,0;4200,855;43,38516666666666;4208,35065;1067,055;3272,4140000000007;2205,358;737,03
16038000;30,8;474,57800000000003;264,0;604,0;387,0;1,3;25,29508333333333;66,59999999999998;588,9589583333334;2509,566;1920,6067999999998;25,29508333333333;35,80696666666667;10,0;4200,855;35,80670833333333;4206,624983333333;1041,16;2375,373;1334,2130000000002;534,994
16041600;31,1;346,608;231,0;434,0;393,0;0,5;20,484058333333333;66,59999999999998;375,1741666666667;1628,0569999999998;1252,8829333333333;20,484058333333333;27,30175;10,0;4200,855;27,301683333333333;4204,726083333333;811,453;1420,554;609,1009999999999;319,945
16045200;28,9;39,202;150,0;167,0;402,0;2,2;15,697483333333334;66,59999999999998;-7,621875;606,2259999999999;613,8483166666665;15,697483333333334;19,002958333333332;10,0;4200,855;19,003008333333334;4202,802166666667;495,857;516,796;20,937999999999995;116,395
16048800;28,1;185,358;103,0;153,0;404,0;1,1;13,680349999999999;66,59999999999998;-107,55390833333334;343,795;451,34874166666674;13,680349999999999;16,138191666666668;10,0;4200,855;16,138125;4202,132;291,253;291,253;0,0;65,598
16052400;26,0;30,565;34,0;37,0;397,0;1,0;12,555266666666666;66,59999999999998;-184,16735;128,402;312,56894166666666;12,555266666666666;14,257366666666668;10,0;4200,855;14,257483333333335;4201,766183333334;117,11;117,11;0,0;26,376000000000005
16056000;24,7;0,0;5,0;5,0;399,0;3,9;11,804266666666667;66,59999999999998;-198,217725;19,499;217,71706666666665;11,804266666666667;12,986716666666666;10,0;4200,855;12,986783333333333;4201,422683333333;17,801;17,801;0,0;4,009
16059600;21,8;0,0;0,0;0,0;397,0;3,0;11,579691666666667;66,6;-176,1296583333333;0,0;176,1296583333333;11,579691666666667;12,277124999999998;10,0;4200,855;12,277333333333331;4201,3082;0,0;0,0;0,0;0,0
16063200;21,2;0,0;0,0;0,0;387,0;3,0;11,4856;66,6;-160,10230833333335;0,0;160,10230833333335;11,4856;12,093558333333332;10,0;4200,855;12,093558333333332;4201,217000000001;0,0;0,0;0,0;0,0
16066800;19,6;0,0;0,0;0,0;378,0;3,4;11,290108333333333;66,6;-133,55015833333334;0,0;133,55015833333334;11,290108333333333;11,770516666666667;10,0;4200,855;11,770516666666667;4201,1144;0,0;0,0;0,0;0,0
16070400;17,9;0,0;0,0;0,0;373,0;2,0;11,077575;66,6;-112,33426666666668;0,0;112,33426666666668;11,077575;11,48485;10,0;4200,855;11,48485;4201,084;0,0;0,0;0,0;0,0
16074000;17,1;0,0;0,0;0,0;379,0;2,0;10,962975000000002;66,6;-104,71904166666667;0,0;104,71904166666667;10,962975000000002;11,364658333333335;10,0;4200,855;11,364658333333335;4201,084;0,0;0,0;0,0;0,0
16077600;16,9;0,0;0,0;0,0;383,0;1,7;10,9009;66,6;-97,70609166666667;0,0;97,70609166666667;10,9009;11,275066666666667;10,0;4200,855;11,275066666666667;4201,084;0,0;0,0;0,0;0,0
16081200;16,1;0,0;0,0;0,0;382,0;1,7;10,820616666666666;66,6;-89,20143333333333;0,0;89,20143333333333;10,820616666666666;11,162849999999999;10,0;4200,672600000001;11,163049999999998;4201,080183333333;0,0;0,0;0,0;0,0
16084800;15,9;0,0;0,0;0,0;380,0;1,1;10,790483333333333;66,6;-89,26690833333335;0,0;89,26690833333335;10,790483333333333;11,148908333333331;10,0;4200,672600000001;11,148908333333331;4201,080183333333;0,0;0,0;0,0;0,0
16088400;16,2;0,0;28,0;28,0;380,0;0,9;11,116141666666667;66,59999999999998;-56,64353333333333;109,25300000000001;165,89696666666666;11,116141666666667;12,03315;10,0;4200,855;12,033350000000002;4201,255;99,738;99,738;0,0;22,464
16092000;16,5;0,0;28,0;28,0;380,0;1,0;11,212516666666666;66,59999999999998;-54,53055833333334;109,24200000000002;163,77255833333334;11,212516666666666;12,11115;10,0;4200,855;12,1112;4201,3081999999995;99,728;99,728;0,0;22,461
16095600;16,0;0,0;56,0;56,0;378,0;2,6;11,568816666666669;66,59999999999998;-8,653016666666668;218,552;227,204575;11,568816666666669;12,821983333333334;10,0;4200,798;12,822033333333334;4201,34255;199,51599999999996;199,51599999999996;0,0;44,93599999999999
16099200;15,4;0,0;54,0;54,0;377,0;3,6;11,617608333333333;66,59999999999998;-8,082;210,77299999999997;218,854925;11,617608333333333;12,819366666666667;10,0;4200,638400000001;12,819366666666667;4201,34635;192,414;192,414;0,0;43,33599999999999
16102800;15,9;0,0;92,0;92,0;376,0;2,3;12,174683333333334;66,59999999999998;40,97996666666667;358,352;317,37218333333334;12,174683333333334;13,926708333333336;10,0;4200,638400000001;13,926825000000003;4201,5868;327,129;327,129;0,0;73,67800000000001
16106400;15,9;0,0;90,0;90,0;377,0;2,3;12,274416666666667;66,59999999999998;43,796058333333335;350,0199999999999;306,22361666666666;12,274416666666667;13,954891666666667;10,0;4200,638400000001;13,954891666666667;4201,571533333333;319,518;319,518;0,0;71,963
16110000;15,5;0,0;107,0;107,0;373,0;3,2;12,484549999999999;66,59999999999998;65,05846666666667;411,95900000000006;346,9008416666666;12,484549999999999;14,393875;10,0;4200,638400000001;14,393941666666667;4201,762366666667;376,0319999999999;376,0319999999999;0,0;84,692
16113600;15,9;0,0;185,0;185,0;369,0;4,1;13,569333333333333;66,59999999999998;162,53659166666665;687,945;525,4083416666667;13,569333333333333;16,471883333333334;10,0;4200,638400000001;16,47195;4202,238466666667;627,7899999999998;627,7899999999998;0,0;141,39399999999998
16117200;15,8;0,0;203,0;203,0;364,0;3,1;14,085908333333334;66,59999999999998;184,48600000000002;750,8759999999999;566,3899916666667;14,085908333333334;17,202333333333335;10,0;4200,638400000001;17,202216666666665;4202,444566666667;685,1940000000001;685,1940000000001;0,0;154,323
16120800;16,8;111,427;303,0;394,0;361,0;2,6;17,819625000000002;66,59999999999998;447,11125;1660,51;1213,3990250000002;17,819625000000002;24,553283333333336;10,0;4200,638400000001;24,553283333333336;4204,074716666666;1176,965;1570,456;393,491;353,706
16124400;18,9;244,463;253,0;428,0;365,0;3,2;19,253866666666667;66,59999999999998;489,52316666666667;1762,596;1273,0724500000001;19,253866666666667;26,259958333333334;10,0;4200,638400000001;26,2599;4204,5205166666665;970,002;1658,3480000000002;688,346;373,502
16128000;19,1;386,273;182,0;408,0;364,0;3,7;18,050058333333336;66,59999999999998;489,5787583333333;1524,781;1035,2026250000001;18,050058333333336;23,715933333333332;10,0;4200,638400000001;23,715858333333333;4203,884266666667;640,35;1321,2919999999997;680,942;297,588
16131600;19,2;233,271;144,0;245,0;360,0;2,7;14,68605;66,59999999999998;267,01093333333336;774,685;507,6735833333333;14,68605;17,421358333333334;10,0;4200,638400000001;17,421358333333334;4202,4062;436,754;562,1649999999998;125,41099999999999;126,614
16135200;19,2;409,007;74,0;184,0;356,0;2,0;12,369816666666665;66,59999999999998;11,185975000000001;264,805;253,61873333333335;12,369816666666665;13,733708333333334;10,0;4200,638400000001;13,733708333333334;4201,59825;192,155;192,155;0,0;43,278
