timestep;MW Solar
1436400;75,35
1437300;75,35
1438200;75,35
1439100;75,35
1440000;75,35
1440900;75,35
1441800;75,35
1442700;75,35
1443600;75,35
1444500;75,35
1445400;75,35
1446300;75,35
1447200;75,35
1448100;75,35
1449000;75,35
1449900;75,35
1450800;75,35
1451700;75,35
1452600;75,35
1453500;75,35
1454400;75,35
1455300;75,35
1456200;75,35
1457100;75,35
1458000;75,35
1458900;75,35
1459800;75,35
1460700;75,35
1461600;75,35
1462500;75,35
1463400;75,35
1464300;75,35
1465200;75,35
1466100;75,35
1467000;75,35
1467900;75,35
1468800;75,35
1469700;75,35
1470600;75,35
1471500;75,35
1472400;75,35
1473300;75,35
1474200;75,35
1475100;75,35
1476000;75,35
1476900;75,35
1477800;75,35
1478700;75,35
1479600;75,35
1480500;75,35
1481400;75,35
1482300;75,35
1483200;75,35
1484100;75,35
1485000;75,35
1485900;75,35
1486800;75,35
1487700;75,35
1488600;75,35
1489500;75,35
1490400;75,35
1491300;75,35
1492200;75,35
1493100;75,35
1494000;75,35
1494900;75,35
1495800;75,35
1496700;75,35
1497600;75,35
1498500;75,35
1499400;75,35
1500300;75,35
1501200;75,35
1502100;75,35
1503000;75,35
1503900;75,35
1504800;75,35
1505700;75,35
1506600;75,35
1507500;75,35
1508400;75,35
1509300;75,35
1510200;75,35
1511100;75,35
1512000;75,35
1512900;75,35
1513800;75,35
1514700;75,35
1515600;75,35
1516500;75,35
1517400;75,35
1518300;75,35
1519200;75,35
1520100;75,35
1521000;75,35
1521900;75,35
1522800;75,35
1523700;75,35
1524600;75,35
1525500;75,35
1526400;75,35
1527300;75,35
1528200;75,35
1529100;75,35
1530000;75,35
1530900;75,35
1531800;75,35
1532700;75,35
1533600;75,35
1534500;75,35
1535400;75,35
1536300;75,35
1537200;75,35
1538100;75,35
1539000;75,35
1539900;75,35
1540800;75,35
1541700;75,35
1542600;75,35
1543500;75,35
1544400;75,35
1545300;75,35
1546200;75,35
1547100;75,35
1548000;75,35
1548900;75,35
1549800;75,35
1550700;75,35
1551600;75,35
1552500;75,35
1553400;75,35
1554300;75,35
1555200;75,35
1556100;75,35
1557000;75,35
1557900;75,35
1558800;75,35
1559700;75,35
1560600;75,35
1561500;75,35
1562400;75,35
1563300;75,35
1564200;75,35
1565100;75,35
1566000;75,35
1566900;75,35
1567800;75,35
1568700;75,35
1569600;75,35
1570500;75,35
1571400;75,35
1572300;75,35
1573200;75,35
1574100;75,35
1575000;75,35
1575900;75,35
1576800;75,35
1577700;75,35
1578600;75,35
1579500;75,35
1580400;75,35
1581300;75,35
1582200;75,35
1583100;75,35
1584000;75,35
1584900;75,35
1585800;75,35
1586700;75,35
1587600;75,35
1588500;75,35
1589400;75,35
1590300;75,35
1591200;75,35
1592100;75,35
1593000;75,35
1593900;75,35
1594800;75,35
1595700;75,35
1596600;75,35
1597500;75,35
1598400;75,35
1599300;75,35
1600200;75,35
1601100;75,35
1602000;75,35
1602900;75,35
1603800;75,35
1604700;75,35
1605600;75,35
1606500;75,35
1607400;75,35
1608300;75,35
1609200;75,35
1610100;75,35
1611000;75,35
1611900;75,35
1612800;75,35
1613700;75,35
1614600;75,35
1615500;75,35
1616400;75,35
1617300;75,35
1618200;75,35
1619100;75,35
1620000;75,35
1620900;75,35
1621800;75,35
1622700;75,35
1623600;75,35
1624500;75,35
1625400;75,35
1626300;75,35
1627200;75,35
1628100;75,35
1629000;75,35
1629900;75,35
1630800;75,35
1631700;75,35
1632600;75,35
1633500;75,35
1634400;75,35
1635300;75,35
1636200;75,35
1637100;75,35
1638000;75,35
1638900;75,35
1639800;75,35
1640700;75,35
1641600;75,35
1642500;75,35
1643400;75,35
1644300;75,35
1645200;75,35
1646100;75,35
1647000;75,35
1647900;75,35
1648800;75,35
1649700;75,35
1650600;75,35
1651500;75,35
1652400;75,35
1653300;75,35
1654200;75,35
1655100;75,35
1656000;75,35
1656900;75,35
1657800;75,35
1658700;75,35
1659600;75,35
1660500;75,35
1661400;75,35
1662300;75,35
1663200;75,35
1664100;75,35
1665000;75,35
1665900;75,35
1666800;75,35
1667700;75,35
1668600;75,35
1669500;75,35
1670400;75,35
1671300;75,35
1672200;75,35
1673100;75,35
1674000;75,35
1674900;75,35
1675800;75,35
1676700;75,35
1677600;75,35
1678500;75,35
1679400;75,35
1680300;75,35
1681200;75,35
1682100;75,35
1683000;75,35
1683900;75,35
1684800;75,35
1685700;75,35
1686600;75,35
1687500;75,35
1688400;75,35
1689300;75,35
1690200;75,35
1691100;75,35
1692000;75,35
1692900;75,35
